Month,Temperature,Humidity
1,29.68,77.56
2,29.97,78.70
3,30.33,78.76
4,30.77,78.70
5,31.05,77.18
6,30.82,76.86
7,30.39,76.81
8,31.19,73.70
9,31.86,71.10
10,31.26,75.00
11,31.98,71.49
12,30.20,77.00
